"Time","Agg_gdp","Agg_pce","GS1","GS2","ebp","gz_spread","MP_jk","CBI_jk","MP_brw","MP_bs","lgdp","lpce","gdp_growth","inflation"
"1968Q4",5202.212,19.036,5.83666666666667,NA,NA,NA,0,0,0,0,8.55683919873452,2.94633192325886,0.00392004755424225,0.0115712066963569
"1969Q1",5283.597,19.244,6.36333333333333,NA,NA,NA,0,0,0,0,8.57236239475486,2.95719932383721,0.0155231960203448,0.0108674005783431
"1969Q2",5299.625,19.474,6.57333333333333,NA,NA,NA,0,0,0,0,8.57539134232,2.96908024255656,0.00302894756513794,0.0118809187193571
"1969Q3",5334.6,19.699,7.65333333333333,NA,NA,NA,0,0,0,0,8.58196918435515,2.98056787303422,0.00657784203514922,0.0114876304776539
"1969Q4",5308.556,19.93,7.9,NA,NA,NA,0,0,0,0,8.57707513751732,2.9922261342247,-0.00489404683782624,0.011658261190485
"1970Q1",5300.652,20.147,7.55333333333333,NA,NA,NA,0,0,0,0,8.57558511084194,3.00305539393377,-0.00149002667538589,0.0108292597090687
"1970Q2",5308.164,20.375,7.45333333333333,NA,NA,NA,0,0,0,0,8.57700129173441,3.01430865912693,0.00141618089247508,0.0112532651931545
"1970Q3",5357.077,20.602,6.93666666666667,NA,NA,NA,0,0,0,0,8.58617376949429,3.0253881584615,0.00917247775988095,0.0110794993345751
"1970Q4",5299.672,20.891,5.64666666666667,NA,NA,NA,0,0,0,0,8.57540021083269,3.03931844421691,-0.0107735586615991,0.0139302857554107
"1971Q1",5443.619,21.156,4.05,NA,NA,NA,0,0,0,0,8.60219937601735,3.05192355320373,0.026799165184654,0.0126051089868211
"1971Q2",5473.059,21.397,4.99333333333333,NA,NA,NA,0,0,0,0,8.60759297127949,3.06325072528481,0.00539359526214334,0.0113271720810801
"1971Q3",5518.072,21.599,5.75,NA,NA,NA,0,0,0,0,8.61578380289798,3.07264701732212,0.00819083161848511,0.00939629203730297
"1971Q4",5531.032,21.722,4.72666666666667,NA,NA,NA,0,0,0,0,8.61812969555017,3.07832557185784,0.00234589265219398,0.00567855453572763
"1972Q1",5632.649,21.931,4.40666666666667,NA,NA,NA,0,0,0,0,8.63633512557391,3.08790116102537,0.0182054300237375,0.00957558916752399
"1972Q2",5760.47,22.079,4.84333333333333,NA,NA,NA,0,0,0,0,8.65877434758329,3.09462693052821,0.0224392220093801,0.00672576950283732
"1972Q3",5814.854,22.245,5.15333333333333,NA,NA,NA,0,0,0,0,8.66817095715691,3.10211726425801,0.00939660957362598,0.00749033372979957
"1972Q4",5912.22,22.385,5.43666666666667,NA,NA,NA,0,0,0,0,8.68477667438493,3.10839109169293,0.0166057172280141,0.00627382743492388
"1973Q1",6058.544,22.541,6.31,NA,-0.0831422340946812,1.078744174384,0,0,0,0,8.70922478616893,3.11533587319982,0.0244481117840039,0.00694478150689415
"1973Q2",6124.506,22.848,7.01666666666667,NA,-0.084965280239264,1.07172169935883,0,0,0,0,8.72005337909907,3.12886358615717,0.0108285929301388,0.0135277129573508
"1973Q3",6092.301,23.151,8.50666666666667,NA,-0.302437601517607,0.925879719052919,0,0,0,0,8.71478112185553,3.14203797614358,-0.00527225724354174,0.0131743899864016
"1973Q4",6150.131,23.474,7.41333333333333,NA,0.0563355791341205,1.30765487561403,0,0,0,0,8.72422866138671,3.15589342567793,0.00944753953118393,0.0138554495343568
"1974Q1",6097.258,23.877,7.35333333333333,NA,0.00940608112146527,1.23505807229828,0,0,0,0,8.71559444090559,3.17291565249182,-0.00863422048112739,0.0170222268138898
"1974Q2",6111.751,24.47,8.69,NA,0.316122189388415,1.48566539198554,0,0,0,0,8.71796859048768,3.19744787745458,0.00237414958209747,0.024532224962758
"1974Q3",6053.978,25.169,9.01,NA,1.06824144080813,2.35900792630186,0,0,0,0,8.70847085561404,3.22561307852087,-0.00949773487363892,0.0281652010662858
"1974Q4",6030.464,25.784,7.67333333333333,NA,1.14145264841993,2.5235152666286,0,0,0,0,8.70457923535122,3.24975414451314,-0.00389162026282186,0.0241410659922709
"1975Q1",5957.035,26.288,6.30666666666667,NA,0.467875386816013,1.75980758111395,0,0,0,0,8.69232815305208,3.26911256129491,-0.0122510822991373,0.0193584167817753
"1975Q2",5999.61,26.689,6.52666666666667,NA,0.283258484945118,1.54185193091532,0,0,0,0,8.6994497460976,3.28425149549833,0.00712159304551641,0.0151389342034212
"1975Q3",6102.326,27.089,7.52,NA,0.270998184332443,1.40266630598843,0,0,0,0,8.71642528895607,3.29912774142526,0.0169755428584661,0.01487624592693
"1975Q4",6184.53,27.53,6.68,NA,0.0850767741436468,1.31491007343652,0,0,0,0,8.72980629164007,3.31527631915452,0.0133810026840013,0.0161485777292527
"1976Q1",6323.649,27.949,5.97666666666667,NA,-0.125153351289211,1.02361515274805,0,0,0,0,8.75205169394272,3.33038142078574,0.022245402302655,0.0151051016312249
"1976Q2",6370.025,28.284,6.28,7.06,-0.0830738902146291,1.0318738923632,0,0,0,0,8.75935867320529,3.34229627374199,0.00730697926256596,0.0119148529562532
"1976Q3",6404.895,28.727,6.01333333333333,6.63333333333333,-0.157773920034521,0.916942703485965,0,0,0,0,8.76481782075384,3.35783744707259,0.0054591475485477,0.0155411733305963
"1976Q4",6451.177,29.177,5.22666666666667,5.72333333333333,-0.188377593093019,0.961944110635444,0,0,0,0,8.77201787376241,3.37338072766538,0.00720005300857274,0.01554328059279
"1977Q1",6527.703,29.668,5.42,6.02666666666667,-0.24149265287216,0.949605751165573,0,0,0,0,8.78381039928543,3.39006902387431,0.0117925255230151,0.016688296208931
"1977Q2",6654.466,30.121,5.69333333333333,6.11333333333333,-0.252322619512882,0.841544595317886,0,0,0,0,8.80304348718904,3.40522260291178,0.0192330879036167,0.0151535790374644
"1977Q3",6774.457,30.622,6.28,6.53,-0.168254946044197,0.915633171583724,0,0,0,0,8.82091449493443,3.4217187048829,0.0178710077453932,0.0164961019711276
"1977Q4",6774.592,31.067,6.96,7.14333333333333,-0.20875003329716,0.883431567420119,0,0,0,0,8.82093442253231,3.43614616257961,1.9927597870506e-05,0.0144274576967045
"1978Q1",6796.26,31.552,7.31,7.54666666666667,-0.338778977131224,0.730899501101125,0,0,0,0,8.82412773985872,3.45163697842022,0.00319331732641182,0.0154908158406171
"1978Q2",7058.92,32.096,7.78666666666667,7.99666666666667,-0.331599549135203,0.711727971116844,0,0,0,0,8.86204734428125,3.46873141177952,0.0379196044225285,0.0170944333592997
"1978Q3",7129.915,32.647,8.44666666666667,8.47666666666667,-0.363490176485535,0.61831581889089,0,0,0,0,8.87205459187865,3.48575296788679,0.0100072475974091,0.0170215561072684
"1978Q4",7225.75,33.233,9.81666666666667,9.33,-0.369314704189843,0.631116268729628,0,0,0,0,8.88540631382151,3.50354335815911,0.0133517219428576,0.0177903902723173
"1979Q1",7238.727,33.687,10.3,9.79,-0.244422755592097,0.676193997217186,0,0,0,0,8.8872006411908,3.51711200625851,0.00179432736928398,0.0135686480994006
"1979Q2",7246.454,34.427,9.93666666666667,9.59333333333333,-0.197668811460826,0.718881422241109,0,0,0,0,8.88826752475034,3.53884114024013,0.00106688355953999,0.0217291339816232
"1979Q3",7300.281,35.063,10.1533333333333,9.55333333333333,-0.213515920371891,0.677282282430094,0,0,0,0,8.89566811954633,3.55714644343079,0.00740059479598898,0.018305303190659
"1979Q4",7318.535,35.794,12.27,11.5633333333333,-0.131256527271078,0.891730484542426,0,0,0,0,8.89816545031333,3.57778028159522,0.00249733076700487,0.0206338381644233
"1980Q1",7341.557,36.67,13.9333333333333,13.2666666666667,0.0150891422614322,0.990107725039793,0,0,0,0,8.90130622445376,3.60195898208323,0.0031407741404319,0.0241787004880178
"1980Q2",7190.289,37.49,10.2833333333333,10.2266666666667,-0.054025318905122,1.23615548931884,0,0,0,0,8.88048664462219,3.62407423074782,-0.0208195798315742,0.0221152486645861
"1980Q3",7181.743,38.325,10.1366666666667,10.3766666666667,0.124771386943673,1.12222295969184,0,0,0,0,8.87929739024156,3.64610242475788,-0.00118925438062334,0.0220281940100571
"1980Q4",7315.677,39.258,13.84,13.2266666666667,0.144594855391651,1.06579293582621,0,0,0,0,8.89777485872749,3.67015524511566,0.018477468485921,0.0240528203577792
"1981Q1",7459.022,40.129,14.12,13.5833333333333,0.237404818408128,1.04879480394384,0,0,0,0,8.91717958540785,3.69209926495513,0.0194047266803601,0.0219440198394776
"1981Q2",7403.745,40.888,15.1266666666667,14.7066666666667,0.490049264702866,1.20656204862464,0,0,0,0,8.9097412322575,3.71083662146598,-0.00743835315034502,0.0187373565108437
"1981Q3",7492.405,41.641,16.32,16.03,0.414366857872257,1.16270163830486,0,0,0,0,8.92164511976442,3.72908525882824,0.0119038875069215,0.0182486373622623
"1981Q4",7410.768,42.381,13.5466666666667,13.9033333333333,0.464302772441006,1.4364005496176,0,0,0,0,8.91068935664419,3.74670014859764,-0.0109557631202328,0.0176148897693964
"1982Q1",7295.631,43.002,14.3333333333333,14.5266666666667,0.761745112780867,1.54475066033398,0,0,0,0,8.89503095481728,3.76124662623984,-0.0156584018269079,0.0145464776422002
"1982Q2",7328.912,43.583,13.7966666666667,14.15,0.807418558142461,1.6066065773928,0,0,0,0,8.89958235275866,3.77466716606412,0.00455139794138049,0.0134205398242813
"1982Q3",7300.896,44.282,11.84,12.6333333333333,0.401664304680101,1.69789397276402,0,0,0,0,8.89575235933061,3.79057827393877,-0.0038299934280559,0.0159111078746519
"1982Q4",7303.817,44.899,9.13,9.88333333333333,0.482239959412126,1.67913985768357,0,0,0,0,8.89615236719642,3.80441552278527,0.000400007865810181,0.0138372488464977
"1983Q1",7400.066,45.488,8.86,9.54333333333333,0.236274923834877,1.2382905570376,0,0,0,0,8.90924419807141,3.81744855490864,0.0130918308749912,0.013033032123376
"1983Q2",7568.456,45.836,9.18,9.74666666666667,0.00980345950521396,0.945902367808311,0,0,0,0,8.93174436261632,3.8250698085642,0.0225001645449137,0.00762125365555777
"1983Q3",7719.746,46.533,10.2966666666667,10.85,-0.119350389223808,0.906178772673667,0,0,0,0,8.95153674092315,3.84016173831072,0.0197923783068283,0.0150919297465215
"1983Q4",7880.794,46.905,9.95333333333333,10.69,0.000130738441003673,0.928565815717395,0,0,0,0,8.97218393919715,3.84812427957791,0.0206471982740037,0.00796254126719109
"1984Q1",8034.847,47.379,10.1766666666667,10.9133333333333,-0.0293748146634426,0.928786284656314,0,0,0,0,8.99154323629772,3.85817909255603,0.0193592971005696,0.0100548129781126
"1984Q2",8173.67,47.934,11.5466666666667,12.3566666666667,-0.125971292819598,0.835810108025809,0,0,0,0,9.00867329139832,3.86982506472796,0.017130055100596,0.0116459721719329
"1984Q3",8252.465,48.384,11.81,12.5033333333333,-0.0279925204704018,0.912391473510267,0,0,0,0,9.01826722257931,3.87916918055707,0.00959393118098717,0.00934411582910766
"1984Q4",8320.199,48.728,10.0166666666667,10.81,-0.138266252236833,0.946339220154424,0,0,0,0,9.02644145179845,3.88625381353418,0.00817422921914179,0.00708463297711592
"1985Q1",8400.82,49.393,9.39,10.27,-0.0951109984667698,0.9877384029672,0,0,0,0,9.0360845991146,3.89980871374857,0.00964314731614735,0.013554900214384
"1985Q2",8474.787,49.821,8.46666666666667,9.39,-0.112693454159517,1.14332472182923,0,0,0,0,9.04485079918946,3.90843658189273,0.00876620007486117,0.00862786814415806
"1985Q3",8604.22,50.333,7.99333333333333,8.89666666666667,0.0305885958868507,1.14335518128563,0,0,0,0,9.06000805956328,3.91866092560833,0.0151572603738277,0.010224343715604
"1985Q4",8668.188,50.694,7.85333333333333,8.53,0.0944853139696454,1.29763236753597,0,0,0,0,9.06741505139198,3.92580756039876,0.00740699182869164,0.0071466347904332
"1986Q1",8749.127,51.241,7.45666666666667,7.77333333333333,0.180689954868811,1.62573570668962,0,0,0,0,9.07670920294559,3.93653999284122,0.00929415155361291,0.0107324324424587
"1986Q2",8788.524,51.592,6.60666666666667,6.98333333333333,0.198406609451203,1.80184435509919,0,0,0,0,9.08120205849066,3.94336662170808,0.00449285554507561,0.00682662886685481
"1986Q3",8872.601,51.947,5.99,6.45,0.549163382550214,2.06762832177228,0,0,0,0,9.09072326794417,3.95022396804331,0.00952120945350288,0.00685734633523349
"1986Q4",8920.193,52.37,5.79666666666667,6.27666666666667,0.563742012554059,1.95756839164554,0,0,0,0,9.09607286211128,3.9583339082914,0.00534959416711622,0.00810994024808664
"1987Q1",8986.367,52.701,5.92333333333333,6.35,0.483877356949584,1.8425641692558,0,0,0,0,9.10346393010482,3.96463443069936,0.00739106799354161,0.00630052240795909
"1987Q2",9083.256,53.213,6.76666666666667,7.45,0.0145084120099928,1.67775311372194,0,0,0,0,9.11418799762557,3.97430272739859,0.0107240675207461,0.0096682966992363
"1987Q3",9162.024,53.69,7.12666666666667,7.84333333333333,0.223160541875716,1.53650563152761,0,0,0,0,9.12282239395865,3.98322676443448,0.0086343963330755,0.00892403703588629
"1987Q4",9319.332,54.235,7.24,7.98333333333333,-0.169370916665018,1.60081361399944,0,0,0,0,9.1398462312912,3.99332645649218,0.0170238373325571,0.0100996920577026
"1988Q1",9367.502,54.759,6.78,7.36,-0.038429951122887,1.57769524589387,0,0,0,-0.0569142832607114,9.14500174417196,4.00294173874876,0.00515551288075322,0.00961528225657649
"1988Q2",9490.594,55.422,7.3,7.87333333333333,0.0566571371487794,1.41885615737562,0,0,0,0.161923470575974,9.15805648184748,4.01497662683853,0.0130547376755246,0.0120348880897705
"1988Q3",9546.206,56.061,8.00333333333333,8.45666666666667,0.0413908426883098,1.37332611906262,0,0,0,0.180159335307578,9.16389907705226,4.02644038360823,0.00584259520477559,0.0114637567697002
"1988Q4",9673.405,56.687,8.52666666666667,8.70333333333333,0.307529957320853,1.50888385819201,0,0,0,0.0983172357031804,9.17713564642629,4.0375449075498,0.0132365693740351,0.0111045239415688
"1989Q1",9771.725,57.306,9.29,9.41,0.365257567901233,1.50743879412411,0,0,0,0.0483925711072631,9.1872482903525,4.04840533028066,0.0101126439262114,0.0108604227308584
"1989Q2",9846.293,57.827,8.92666666666667,8.96,0.535844979138613,1.67757378074765,0,0,0,-0.104448567757612,9.19485031815285,4.05745579463568,0.00760202780034724,0.00905046435502666
"1989Q3",9919.228,58.257,8.09666666666667,8.08,0.700246093192132,1.78017536647122,0,0,0,-0.0794356169550568,9.20223037466994,4.06486425689959,0.00738005651708917,0.00740846226391056
"1989Q4",9938.767,58.791,7.82666666666667,7.85333333333333,0.564931311080528,1.51691281322973,0,0,0,0.0509508468625566,9.2041982476909,4.07398878196503,0.00196787302096091,0.0091245250654346
"1990Q1",10047.386,59.468,8.12666666666667,8.36333333333333,0.366067803062404,1.34794644384957,0.00576871,-0.0330064,0,0.0190964076760324,9.21506778015299,4.0854383527511,0.0108695324620918,0.0114495707860778
"1990Q2",10083.855,60.132,8.27333333333333,8.57,0.146468887835045,1.19490676567408,-0.00897895,-0.00293575,0,-0.0052151710666298,9.21869090898983,4.09654214576559,0.00362312883683913,0.0111037930144828
"1990Q3",10090.569,60.74,7.82666666666667,8.1,-0.0474663801046322,1.07553602966146,-0.0487477,-0.02158702,0,0.0120674213278692,9.21935650422545,4.1066024596176,0.000665595235616934,0.0100603138520157
"1990Q4",9998.704,61.25,7.30333333333333,7.59666666666667,0.266882217050007,1.41925843729733,-0.06805697,-0.08567678,0,-0.0297674007162969,9.21021076357738,4.11496384942484,-0.00914574064807105,0.00836138980723344
"1991Q1",9951.916,61.793,6.43666666666667,7.03333333333333,0.304795895838276,1.36625801825333,-0.23301908,-0.1184763,0,-0.191149945795711,9.20552037442887,4.12379008943986,-0.00469038914850728,0.00882624001502119
"1991Q2",10029.51,62.27,6.24333333333333,6.89666666666667,0.161879481717641,1.25039255025764,-0.11502881,-0.06871537,0,-0.0935005082403253,9.21328702632293,4.13147976888436,0.00776665189406245,0.0076896794445025
"1991Q3",10080.195,62.83,5.88666666666667,6.51,0.16846530019305,1.28835673483622,-0.06445359,-0.0105001,0,0.0313460213502429,9.21832788667634,4.14043266641486,0.00504086035340556,0.00895289753049511
