"Time","Agg_gdp","Agg_pce","GS1","ebp","gz_spread","MP_brw","MP_jk","CBI_jk","MP_bs","lgdp","lpce","gdp_growth","inflation","d_GS1","gdp_growth_L1","gdp_growth_L2","gdp_growth_L3","gdp_growth_L4","inflation_L1","inflation_L2","inflation_L3","inflation_L4"
2000-04-01,14134.3735685323,74.617,6.15,0.571351349837866,2.63260459662693,0,0,0,0,9.55636495139058,4.31236836328608,0.0130066373845636,0.000656902527225611,-0.0699999999999994,0.0058842699551338,0.00408108766527171,-0.00989546621257986,0.0102261480017809,0.00205392633773371,0.00146583225660191,0.00239837349022753,0.00126888152984073
2000-05-01,14115.1837629583,74.697,6.33,0.753372547401639,2.80278629282038,0.0337245,0.06786235,-0.00825308,0.0385385209252564,9.55500635958678,4.31343993068974,-0.00135859180379327,0.00107156740365966,0.18,0.0130066373845636,0.0058842699551338,0.00408108766527171,-0.00989546621257986,0.000656902527225611,0.00205392633773371,0.00146583225660191,0.00239837349022753
2000-06-01,14143.5816260146,74.754,6.17,0.800763337539832,2.81222467652529,-0.026451,-0.0336266,-0.00171677,-0.0340980596379088,9.55701620483124,4.31420272254478,0.00200984524446035,0.000762791855040135,-0.16,-0.00135859180379327,0.0130066373845636,0.0058842699551338,0.00408108766527171,0.00107156740365966,0.000656902527225611,0.00205392633773371,0.00146583225660191
2000-07-01,14058.6650265326,74.925,6.08,0.881003444778801,2.92905279584326,0,0,0,0,9.5509942125305,4.31648761320273,-0.00602199230073808,0.00228489065794601,-0.0899999999999999,0.00200984524446035,-0.00135859180379327,0.0130066373845636,0.0058842699551338,0.000762791855040135,0.00107156740365966,0.000656902527225611,0.00205392633773371
2000-08-01,14171.6295691845,75.021,6.18,1.03456571827342,3.05113831162987,-0.0210846,0.03333993,0.01446751,0.00108663641179043,9.55899732742646,4.31776807434363,0.00800311489595451,0.00128046114089919,0.0999999999999996,-0.00602199230073808,0.00200984524446035,-0.00135859180379327,0.0130066373845636,0.00228489065794601,0.000762791855040135,0.00107156740365966,0.000656902527225611
2000-09-01,14205.9719905445,75.203,6.13,1.14165430202151,3.19995622789784,0,0,0,0,9.56141771789204,4.32019112377709,0.00242039046558418,0.00242304943346028,-0.0499999999999998,0.00800311489595451,-0.00602199230073808,0.00200984524446035,-0.00135859180379327,0.00128046114089919,0.00228489065794601,0.000762791855040135,0.00107156740365966
2000-10-01,14247.3571566478,75.308,6.01,1.53290686158233,3.63550103068777,0.0087331,0.03245544,0.00638653,0.0424682855831242,9.56432670580508,4.32158637086247,0.00290898791303995,0.00139524708537841,-0.12,0.00242039046558418,0.00800311489595451,-0.00602199230073808,0.00200984524446035,0.00242304943346028,0.00128046114089919,0.00228489065794601,0.000762791855040135
2000-11-01,14232.9738798191,75.441,6.09,1.61604307713582,3.73674774735291,0.0123755,0.04374977,-0.03753593,0.0138754669834873,9.56331665588445,4.32335089380469,-0.00101004992063558,0.00176452294222074,0.0800000000000001,0.00290898791303995,0.00242039046558418,0.00800311489595451,-0.00602199230073808,0.00139524708537841,0.00242304943346028,0.00128046114089919,0.00228489065794601
2000-12-01,14209.9797475669,75.515,5.6,1.61577183254187,3.75710325367195,-0.0045703,0.04392733,-0.02240827,0.0491364435922426,9.56169979586613,4.32433131201831,-0.00161686001832173,0.000980418213619494,-0.49,-0.00101004992063558,0.00290898791303995,0.00242039046558418,0.00800311489595451,0.00176452294222074,0.00139524708537841,0.00242304943346028,0.00128046114089919
2001-01-01,14215.8307718094,75.796,4.81,1.16068792040545,3.37064244730092,-0.0332549,-0.3331864,0.13912818,-0.104853757323184,9.56211146569845,4.32804552080737,0.000411669832327988,0.00371420878906292,-0.79,-0.00161686001832173,-0.00101004992063558,0.00290898791303995,0.00242039046558418,0.000980418213619494,0.00176452294222074,0.00139524708537841,0.00242304943346028
2001-02-01,14185.2230246028,75.93,4.68,1.19197281536016,3.29295719062082,0,0,0,0,9.55995606968564,4.32981186322514,-0.00215539601281201,0.00176634241777407,-0.13,0.000411669832327988,-0.00161686001832173,-0.00101004992063558,0.00290898791303995,0.00371420878906292,0.000980418213619494,0.00176452294222074,0.00139524708537841
2001-03-01,14149.8101969417,76.009,4.3,1.12081105676208,3.24929042747802,-0.0337901,0.00155644,-0.06946799,-0.000721612503943397,9.55745648933772,4.33085175432774,-0.00249958034791753,0.00103989110260105,-0.38,-0.00215539601281201,0.000411669832327988,-0.00161686001832173,-0.00101004992063558,0.00176634241777407,0.00371420878906292,0.000980418213619494,0.00176452294222074
2001-04-01,14260.7641747237,76.13,3.98,0.930125458143134,3.17255420229816,0,-0.39070124,-0.11573985,-0.213910633471569,9.56526728122277,4.33244240531812,0.00781079188504208,0.00159065099037736,-0.32,-0.00249958034791753,-0.00215539601281201,0.000411669832327988,-0.00161686001832173,0.00103989110260105,0.00176634241777407,0.00371420878906292,0.000980418213619494
2001-05-01,14326.8087174925,76.148,3.78,0.78509683178551,2.96872380597694,-0.0227166,-0.0962114,-0.05210162,-0.0674108752036237,9.56988779661366,4.33267881504354,0.00462051539089359,0.000236409725421716,-0.2,0.00781079188504208,-0.00249958034791753,-0.00215539601281201,0.000411669832327988,0.00159065099037736,0.00103989110260105,0.00176634241777407,0.00371420878906292
2001-06-01,14229.1418197178,76.318,3.58,1.0265651865235,3.07642907366969,0.0941237,0.07399816,0.01204147,0.125890032589098,9.56304738144506,4.33490882134593,-0.0068404151686039,0.00223000630238612,-0.2,0.00462051539089359,0.00781079188504208,-0.00249958034791753,-0.00215539601281201,0.000236409725421716,0.00159065099037736,0.00103989110260105,0.00176634241777407
2001-07-01,14183.7038118592,76.515,3.62,0.794898742014474,3.01170055564632,0,0,0,0,9.5598489656874,4.337486800043,-0.00319841575765878,0.00257797869707055,0.04,-0.0068404151686039,0.00462051539089359,0.00781079188504208,-0.00249958034791753,0.00223000630238612,0.000236409725421716,0.00159065099037736,0.00103989110260105
2001-08-01,14346.9201019749,76.553,3.47,0.7752092687055,3.00351688100813,-0.0234165,-0.00404332,-0.08606239,0.0115383948054687,9.57129057111201,4.33798331140763,0.0114416054246131,0.00049651136463158,-0.15,-0.00319841575765878,-0.0068404151686039,0.00462051539089359,0.00781079188504208,0.00257797869707055,0.00223000630238612,0.000236409725421716,0.00159065099037736
2001-09-01,14114.4565270834,76.118,2.82,1.24004153433851,3.51721051226129,0,0,0,0,9.55495483672871,4.33228476777904,-0.0163357343833006,-0.00569854362858813,-0.65,0.0114416054246131,-0.00319841575765878,-0.0068404151686039,0.00462051539089359,0.00049651136463158,0.00257797869707055,0.00223000630238612,0.000236409725421716
2001-10-01,14236.5625908476,76.654,2.33,1.05652836363656,3.41734578531174,0.0005764,-0.00934119,-0.05097291,0.0133990200722291,9.56356876473428,4.33930178921388,0.00861392800557503,0.00701702143484173,-0.49,-0.0163357343833006,0.0114416054246131,-0.00319841575765878,-0.0068404151686039,-0.00569854362858813,0.00049651136463158,0.00257797869707055,0.00223000630238612
2001-11-01,14160.6972654075,76.81,2.18,-0.0894171550678395,2.96979166517734,-0.0498672,-0.12679517,-0.05078501,-0.0813269629825873,9.55822560794268,4.34133484001059,-0.00534315679160713,0.00203305079670635,-0.15,0.00861392800557503,-0.0163357343833006,0.0114416054246131,-0.00319841575765878,0.00701702143484173,-0.00569854362858813,0.00049651136463158,0.00257797869707055
2001-12-01,14365.2912568472,76.828,2.22,0.411974770744044,2.88436987504082,-0.0426733,-0.05191214,-0.02053576,0.0161010088384931,9.5725702466584,4.34156915704261,0.0143446387157216,0.000234317032014708,0.04,-0.00534315679160713,0.00861392800557503,-0.0163357343833006,0.0114416054246131,0.00203305079670635,0.00701702143484173,-0.00569854362858813,0.00049651136463158
2002-01-01,14407.2448056524,76.871,2.16,0.573596310610483,2.92052777677277,0.0045066,0.01537737,0.01095942,0.07305020642297,9.57548647054957,4.34212869225262,0.00291622389117308,0.000559535210013173,-0.0600000000000001,0.0143446387157216,-0.00534315679160713,0.00861392800557503,-0.0163357343833006,0.000234317032014708,0.00203305079670635,0.00701702143484173,-0.00569854362858813
2002-02-01,14322.9198231467,77.018,2.23,0.791557193247642,2.95809058528969,0,0,0,0,9.56961631799465,4.34403916076838,-0.00587015255492673,0.00191046851576271,0.0699999999999998,0.00291622389117308,0.0143446387157216,-0.00534315679160713,0.00861392800557503,0.000559535210013173,0.000234317032014708,0.00203305079670635,0.00701702143484173
2002-03-01,14390.0859467526,77.11,2.57,0.286790942791289,2.61661885637097,-0.0178533,-0.01540963,-0.05552493,-0.0644124223181268,9.57429477253575,4.34523297384487,0.00467845454110716,0.00119381307648769,0.34,-0.00587015255492673,0.00291622389117308,0.0143446387157216,-0.00534315679160713,0.00191046851576271,0.000559535210013173,0.000234317032014708,0.00203305079670635
2002-04-01,14443.9466311514,77.325,2.48,0.424467451619662,2.6584594431495,0,0,0,0,9.57803068751039,4.34801731857113,0.00373591497463899,0.00278434472626454,-0.0899999999999999,0.00467845454110716,-0.00587015255492673,0.00291622389117308,0.0143446387157216,0.00119381307648769,0.00191046851576271,0.000559535210013173,0.000234317032014708
2002-05-01,14442.5511887675,77.411,2.35,0.523503745938823,2.73463728322125,-0.0377473,0.00113376,-0.03427141,-0.0239504882456192,9.57793407196401,4.3491288893608,-9.661554638285e-05,0.00111157078966784,-0.13,0.00373591497463899,0.00467845454110716,-0.00587015255492673,0.00291622389117308,0.00278434472626454,0.00119381307648769,0.00191046851576271,0.000559535210013173
2002-06-01,14497.9165386752,77.534,2.2,0.97736124695602,3.27748889679343,-0.0742404,0.03136311,-0.02569537,0.0519952321831472,9.58176023109678,4.35071654983177,0.00382615913277462,0.00158766047096481,-0.15,-9.661554638285e-05,0.00373591497463899,0.00467845454110716,-0.00587015255492673,0.00111157078966784,0.00278434472626454,0.00119381307648769,0.00191046851576271
2002-07-01,14574.9425976316,77.692,1.96,1.60587032148253,4.09192300903127,0,0,0,0,9.58705907279801,4.35275229196989,0.00529884170122763,0.00203574213812008,-0.24,0.00382615913277462,-9.661554638285e-05,0.00373591497463899,0.00467845454110716,0.00158766047096481,0.00111157078966784,0.00278434472626454,0.00119381307648769
2002-08-01,14491.9709554201,77.845,1.76,1.50315434855733,3.96818421176714,-0.0174191,-0.01545075,-0.08686435,-0.07491670093035,9.58135004783273,4.35471967014164,-0.00570902496528269,0.0019673781717513,-0.2,0.00529884170122763,0.00382615913277462,-9.661554638285e-05,0.00373591497463899,0.00203574213812008,0.00158766047096481,0.00111157078966784,0.00278434472626454
2002-09-01,14493.6107178433,77.972,1.72,1.68954537223105,4.29662701187206,0.0158671,0.0535004,-0.06617244,0.0106218952929905,9.58146319114953,4.3563497878839,0.000113143316800901,0.00163011774226085,-0.04,-0.00570902496528269,0.00529884170122763,0.00382615913277462,-9.661554638285e-05,0.0019673781717513,0.00203574213812008,0.00158766047096481,0.00111157078966784
2002-10-01,14480.4480698257,78.038,1.65,1.48220453021504,4.34700439024689,0,0,0,0,9.58055460950969,4.35719588754337,-0.000908581639842865,0.000846099659475463,-0.0700000000000001,0.000113143316800901,-0.00570902496528269,0.00529884170122763,0.00382615913277462,0.00163011774226085,0.0019673781717513,0.00203574213812008,0.00158766047096481
2002-11-01,14522.5684241866,78.114,1.49,1.06304119682495,3.77424017286557,0.0039523,-0.01985365,-0.08332793,-0.0899457150767885,9.58345916145391,4.35816929814331,0.00290455194422101,0.000973410599940827,-0.16,-0.000908581639842865,0.000113143316800901,-0.00570902496528269,0.00529884170122763,0.000846099659475463,0.00163011774226085,0.0019673781717513,0.00203574213812008
2002-12-01,14611.1113104928,78.187,1.45,0.928485489254947,3.67817098340856,0.0327835,0.0267367,-0.00859513,0.0462809372441507,9.58953756690963,4.35910339332259,0.00607840545572458,0.000934095179275118,-0.04,0.00290455194422101,-0.000908581639842865,0.000113143316800901,-0.00570902496528269,0.000973410599940827,0.000846099659475463,0.00163011774226085,0.0019673781717513
2003-01-01,14595.1516796507,78.24,1.36,0.876955100889637,3.56298451345886,0.0218613,0.01228723,0.03113482,0.0586932887457299,9.58844467581049,4.35978102572656,-0.00109289109914634,0.000677632403972339,-0.0899999999999999,0.00607840545572458,0.00290455194422101,-0.000908581639842865,0.000113143316800901,0.000934095179275118,0.000973410599940827,0.000846099659475463,0.00163011774226085
2003-02-01,14653.2125772962,78.348,1.3,0.676527339678191,3.4491588116233,0,0,0,0,9.59241487895764,4.3611604419925,0.00397020314714958,0.00137941626593463,-0.0600000000000001,-0.00109289109914634,0.00607840545572458,0.00290455194422101,-0.000908581639842865,0.000677632403972339,0.000934095179275118,0.000973410599940827,0.000846099659475463
2003-03-01,14595.661116598,78.474,1.24,0.161280870936579,3.20691384025865,0.0226282,0.02912005,-0.02208686,0.0180237549121253,9.58847957973392,4.36276735973507,-0.00393529922371982,0.00160691774257327,-0.0600000000000001,0.00397020314714958,-0.00109289109914634,0.00607840545572458,0.00290455194422101,0.00137941626593463,0.000677632403972339,0.000934095179275118,0.000973410599940827
